district,latitude,longitude,population,area_km2,num_hospitals,num_banks,num_offices,num_stations,nearest_hospital_km,nearest_bank_km,nearest_office_km,nearest_station_km,avg_hospital_dist_km,avg_bank_dist_km,avg_station_dist_km,hospital_density,bank_density,station_density,hospital_per_10k_people,bank_per_10k_people,station_per_100k_people,medical_score,financial_score,transport_score,administrative_score,total_accessibility_score,grade
성동구,37.5634,127.0367,301000,16.9,12,9,20,3,1.229343473584381,0.2517521260957286,0.0,2.6151888683452684,2.1959266159305715,0.8116309167489283,5.572670592325243,0.7100591715976332,0.5325443786982249,0.1775147928994083,0.39867109634551495,0.29900332225913623,0.9966777408637874,23.192988565403002,45.33955950880001,3.8438867759231043,50,25.84,F
성북구,37.5894,127.0167,448000,24.6,17,13,15,5,0.9883271484323116,0.1962900116067538,0.0,3.2557118913591205,1.6810352335919596,1.0849067376996369,3.6916611512548596,0.6910569105691057,0.5284552845528455,0.2032520325203252,0.3794642857142857,0.29017857142857145,1.1160714285714286,29.478651611344798,35.37007288548672,21.01700145351274,50,31.2,F
송파구,37.5145,127.1059,671000,33.9,46,40,16,7,0.6653351200198753,0.3986506367659139,0.0,1.4380265779325325,0.828965653035975,0.7396659906759298,1.9826429609150142,1.3569321533923304,1.1799410029498525,0.20648967551622419,0.6855439642324888,0.5961251862891207,1.0432190760059612,82.0825298005121,74.6123151467887,53.14871743136901,50,67.1,B
양천구,37.517,126.8664,461000,17.4,18,13,14,3,0.2922076456600118,1.0049611819068696,0.0,3.121128286249859,0.6348331885775664,1.1087754610519582,3.4586766108112568,1.0344827586206897,0.7471264367816093,0.1724137931034483,0.39045553145336226,0.28199566160520606,0.6507592190889371,86.16813864467734,43.38041622728879,18.247946665518743,50,51.81,C
영등포구,37.5264,126.8962,380000,24.6,15,11,17,6,1.10525482307411,0.77729527302595,0.0,3.176533587293923,1.3986286068525244,1.3052072054455548,3.215674242986594,0.6097560975609756,0.44715447154471544,0.24390243902439024,0.39473684210526316,0.2894736842105263,1.5789473684210527,32.39723610442125,27.02239261923647,33.51196714215896,50,34.3,F
용산구,37.5326,126.99,231000,21.9,9,6,17,4,1.3132412503328885,0.7210499009334047,0.0,1.057192542748058,2.775166076512863,1.360112978915237,3.0460385864796993,0.4109589041095891,0.27397260273972607,0.18264840182648404,0.3896103896103896,0.25974025974025977,1.7316017316017314,7.515243409984947,19.129331021855947,25.380506189815886,50,21.57,F
은평구,37.6027,126.929,483000,29.7,19,14,12,5,0.16532078051166002,0.4299152148278137,0.0,1.6177864352990077,0.8260590980425718,0.9318420157482908,2.8362294319409167,0.6397306397306397,0.4713804713804714,0.16835016835016836,0.39337474120082816,0.2898550724637681,1.0351966873706004,56.32838679614818,37.964056548345354,26.242415267156467,50,42.68,D
종로구,37.573,126.9794,156000,23.9,6,8,19,6,1.0858596922717731,1.0493065968687612,0.0,2.1966877251331303,1.869688193400273,1.2894001617265742,3.1324618316945934,0.2510460251046025,0.3347280334728034,0.2510460251046025,0.38461538461538464,0.5128205128205128,3.8461538461538463,10.585404671906021,22.885709965828443,35.869764026308545,50,26.54,F
중구,37.5641,126.9979,129000,9.96,5,6,17,4,1.898694212878867,1.5298711274885897,0.0,0.7686850061236112,2.402645891679697,1.6444992572142478,4.2057181569364515,0.502008032128514,0.6024096385542168,0.4016064257028112,0.3875968992248062,0.46511627906976744,3.10077519379845,13.675451436391686,27.802658091983965,50.43777436467067,50,32.98,F
중랑구,37.6063,127.0925,406000,18.5,16,12,21,4,0.29449367138759613,0.17465001940141744,0.0,1.632567722998655,0.6142766849737107,0.790905395104257,3.5299719861234937,0.8648648648648649,0.6486486486486487,0.21621621621621623,0.39408866995073893,0.29556650246305416,0.9852216748768473,82.20188223938224,50.924985271395386,24.95416362813733,50,53.94,C
